season,scoring champ,p from 2p/g,p from 3p/g,p from ft/g,2p%,3p%,ft%
1979-1980,George Gervin,25.43589744,1.230769231,6.474358974,0.54,0.314,0.852
1980-1981,Adrian Dantley,22.675,0.075,7.9,0.56,0.286,0.806
1981-1982,George Gervin,24.88607595,0.379746835,7.025316456,0.504,0.278,0.864
1982-1983,Alex English,23.34146341,0.073170732,4.951219512,0.519,0.167,0.829
1983-1984,Adrian Dantley,20.27848101,0.037974684,10.29113924,0.559,0.25,0.859
1984-1985,Michael Jordan,20.19512195,0.329268293,7.682926829,0.526,0.173,0.845
1985-1986,Alex English,23.45679012,0.037037037,6.308641975,0.505,0.2,0.862
1986-1987,Michael Jordan,26.48780488,0.43902439,10.15853659,0.491,0.182,0.857
1987-1988,Michael Jordan,25.90243902,0.256097561,8.817073171,0.546,0.132,0.841
1988-1989,Michael Jordan,23.18518519,1,8.320987654,0.553,0.276,0.85
89-90,Jordan,23,3.3,7.2,0.548,0.376,0.848
90-91,Jordan,23.4,1.2,7,0.551,0.312,0.851
91-92,Jordan,23,0.9,6.1,0.533,0.27,0.832
92-93,Jordan,23.4,3,6.1,0.514,0.352,0.837
93-94,Robinson,20.8,0.3,8.7,0.51,0.345,0.749
94-95,O'Neal,23.6,0,5.8,0.585,0,0.533
95-96,Jordan,19.6,4.2,6.7,0.506,0.427,0.834
96-97,Jordan,19.8,4.2,5.9,0.507,0.374,0.833
97-98,Jordan,20.8,1.2,6.9,0.482,0.238,0.784
98-99,Iverson,15.8,3.6,7.4,0.44,0.291,0.751
99-00,Shaquille O'Neal,24.2,0,5.5,0.575,0,0.524
00-01,Allen Iverson,18.8,4.2,8.2,0.441,0.32,0.814
01-02,Allen Iverson,19.6,3.9,7.9,0.419,0.291,0.812
02-03,Tracy McGrady,17.4,6.9,7.7,0.481,0.386,0.793
03-04,Tracy McGrady,14.2,7.8,5.9,0.455,0.339,0.796
04-05,Allen Iverson,17.8,4.2,8.7,0.451,0.308,0.835
05-06,Kobe Bryant,20,6.9,8.7,0.482,0.347,0.85
06-07,Kobe Bryant,17.6,5.4,8.7,0.497,0.344,0.868
07-08,LeBron James,18.2,4.5,7.3,0.531,0.315,0.712
08-09,Dwyane Wade,19.4,3.3,7.5,0.524,0.317,0.765
